Tweet,Sarcasm,tokens
Always said delaney was amazing  ,yes,"['Always', 'said', 'delaney', 'was', 'amazing']"
Arguing with my mom is the best .. lem me tell ya,yes,"['Arguing', 'with', 'my', 'mom', 'is', 'the', 'best', '..', 'lem', 'me', 'tell', 'ya']"
If I ever need a brain transplant I ' d choose yours because I ' d want a brain that had never been used,yes,"['If', 'I', 'ever', 'need', 'a', 'brain', 'transplant', 'I', ""'"", 'd', 'choose', 'yours', 'because', 'I', ""'"", 'd', 'want', 'a', 'brain', 'that', 'had', 'never', 'been', 'used']"
Went to sleep at 5pm woke at 2am  Jet lag is just an all round good time ^,yes,"['Went', 'to', 'sleep', 'at', '5pm', 'woke', 'at', '2am', 'Jet', 'lag', 'is', 'just', 'an', 'all', 'round', 'good', 'time', '^']"
Having a driving license without a car is the best ,yes,"['Having', 'a', 'driving', 'license', 'without', 'a', 'car', 'is', 'the', 'best']"
Oh no new texts  What a surprise  ,yes,"['Oh', 'no', 'new', 'texts', 'What', 'a', 'surprise']"
" Oh hey , let me talk to another dentist about our kids field trips while i poke the shit outta your mouth   I love the dentist .",yes,"['Oh', 'hey', ',', 'let', 'me', 'talk', 'to', 'another', 'dentist', 'about', 'our', 'kids', 'field', 'trips', 'while', 'i', 'poke', 'the', 'shit', 'outta', 'your', 'mouth', 'I', 'love', 'the', 'dentist', '.']"
Oh how I just love being the only girl in the class  ,yes,"['Oh', 'how', 'I', 'just', 'love', 'being', 'the', 'only', 'girl', 'in', 'the', 'class']"
I love it when the bus smells like cat piss and dirty laundry   ,yes,"['I', 'love', 'it', 'when', 'the', 'bus', 'smells', 'like', 'cat', 'piss', 'and', 'dirty', 'laundry']"
Love when the Internet goes down at work   ,yes,"['Love', 'when', 'the', 'Internet', 'goes', 'down', 'at', 'work']"
No really . I can sleep quite well while I'm upset . ,yes,"['No', 'really', '.', 'I', 'can', 'sleep', 'quite', 'well', 'while', ""I'm"", 'upset', '.']"
Time for a  hour class .  ,yes,"['Time', 'for', 'a', 'hour', 'class', '.']"
"D i dnt sleep lots last night , good thing my computer is down and i get to do nothing at work . ",yes,"['D', 'i', 'dnt', 'sleep', 'lots', 'last', 'night', ',', 'good', 'thing', 'my', 'computer', 'is', 'down', 'and', 'i', 'get', 'to', 'do', 'nothing', 'at', 'work', '.']"
That 100 degree heat index made that one of my most enjoyable runs to date  ,yes,"['That', '100', 'degree', 'heat', 'index', 'made', 'that', 'one', 'of', 'my', 'most', 'enjoyable', 'runs', 'to', 'date']"
Filling out medical forms is how I like to spend my Tuesday mornings   ,yes,"['Filling', 'out', 'medical', 'forms', 'is', 'how', 'I', 'like', 'to', 'spend', 'my', 'Tuesday', 'mornings']"
I'm in such a good mood today so I feel it's in my best interest to not speak to anyone cause then they can't ruin it ,yes,"[""I'm"", 'in', 'such', 'a', 'good', 'mood', 'today', 'so', 'I', 'feel', ""it's"", 'in', 'my', 'best', 'interest', 'to', 'not', 'speak', 'to', 'anyone', 'cause', 'then', 'they', ""can't"", 'ruin', 'it']"
Wow  You wore you r  Tom's  and brought your dog to Chickabiddy  You must be the coolest people in Morehead .. glad I could see you .,yes,"['Wow', 'You', 'wore', 'you', 'r', ""Tom's"", 'and', 'brought', 'your', 'dog', 'to', 'Chickabiddy', 'You', 'must', 'be', 'the', 'coolest', 'people', 'in', 'Morehead', '..', 'glad', 'I', 'could', 'see', 'you', '.']"
"Gon na have to do another unfollow spree later today , yeah , those are always fun . ",yes,"['Gon', 'na', 'have', 'to', 'do', 'another', 'unfollow', 'spree', 'later', 'today', ',', 'yeah', ',', 'those', 'are', 'always', 'fun', '.']"
So excited for my family hike at 9 freaking o'clock in the morning  I love not sleeping in on my day off .,yes,"['So', 'excited', 'for', 'my', 'family', 'hike', 'at', '9', 'freaking', ""o'clock"", 'in', 'the', 'morning', 'I', 'love', 'not', 'sleeping', 'in', 'on', 'my', 'day', 'off', '.']"
Just love it when my guys clean their desks and put all that paper in their out boxes for me to deal with .  ,yes,"['Just', 'love', 'it', 'when', 'my', 'guys', 'clean', 'their', 'desks', 'and', 'put', 'all', 'that', 'paper', 'in', 'their', 'out', 'boxes', 'for', 'me', 'to', 'deal', 'with', '.']"
Thanks for telling us the class catalogue was finally up for DL four days before school starts .   ,yes,"['Thanks', 'for', 'telling', 'us', 'the', 'class', 'catalogue', 'was', 'finally', 'up', 'for', 'DL', 'four', 'days', 'before', 'school', 'starts', '.']"
"they canceled Jersey Shore  wow , what am I going to do now ",yes,"['they', 'canceled', 'Jersey', 'Shore', 'wow', ',', 'what', 'am', 'I', 'going', 'to', 'do', 'now']"
Yay for an 8am class on Friday . ,yes,"['Yay', 'for', 'an', '8am', 'class', 'on', 'Friday', '.']"
"Class , sleep , class , work .  ",yes,"['Class', ',', 'sleep', ',', 'class', ',', 'work', '.']"
I just love waking up being yelled at what a lovely morning ,yes,"['I', 'just', 'love', 'waking', 'up', 'being', 'yelled', 'at', 'what', 'a', 'lovely', 'morning']"
Greaaaaaat  Jus wat we need RT  SAfmnews  The drought in the United States is likely to push food up prices in South Africa .  ,yes,"['Greaaaaaat', 'Jus', 'wat', 'we', 'need', 'RT', 'SAfmnews', 'The', 'drought', 'in', 'the', 'United', 'States', 'is', 'likely', 'to', 'push', 'food', 'up', 'prices', 'in', 'South', 'Africa', '.']"
Getting a plastic fish thrown at me by a one and a half year old is a great experience ,yes,"['Getting', 'a', 'plastic', 'fish', 'thrown', 'at', 'me', 'by', 'a', 'one', 'and', 'a', 'half', 'year', 'old', 'is', 'a', 'great', 'experience']"
It's great when you're mom wakes you up just to yell at me then she yells at me the entire morning  ,yes,"[""It's"", 'great', 'when', ""you're"", 'mom', 'wakes', 'you', 'up', 'just', 'to', 'yell', 'at', 'me', 'then', 'she', 'yells', 'at', 'me', 'the', 'entire', 'morning']"
Do you know what I love  Apartment construction at 7 a . m .  mornings in a row  ,yes,"['Do', 'you', 'know', 'what', 'I', 'love', 'Apartment', 'construction', 'at', '7', 'a', '.', 'm', '.', 'mornings', 'in', 'a', 'row']"
Just realized I can't go north to 8  Hooray for the Grand Prix ,yes,"['Just', 'realized', 'I', ""can't"", 'go', 'north', 'to', '8', 'Hooray', 'for', 'the', 'Grand', 'Prix']"
Make sure you take a really long ti me to text me back .,yes,"['Make', 'sure', 'you', 'take', 'a', 'really', 'long', 'ti', 'me', 'to', 'text', 'me', 'back', '.']"
Nothing like being in class two hours and having two hours to go  ,yes,"['Nothing', 'like', 'being', 'in', 'class', 'two', 'hours', 'and', 'having', 'two', 'hours', 'to', 'go']"
Every  year old needs a Facebook or a Twitter . Because they really care about that . ,yes,"['Every', 'year', 'old', 'needs', 'a', 'Facebook', 'or', 'a', 'Twitter', '.', 'Because', 'they', 'really', 'care', 'about', 'that', '.']"
Got ta love getting up early on your two days off and doing harder work then normal without bieng paid  ,yes,"['Got', 'ta', 'love', 'getting', 'up', 'early', 'on', 'your', 'two', 'days', 'off', 'and', 'doing', 'harder', 'work', 'then', 'normal', 'without', 'bieng', 'paid']"
So happy to just find out uoit decided to reschedule all my lectures and tutorials for me to night classes at the exact same times  ,yes,"['So', 'happy', 'to', 'just', 'find', 'out', 'uoit', 'decided', 'to', 'reschedule', 'all', 'my', 'lectures', 'and', 'tutorials', 'for', 'me', 'to', 'night', 'classes', 'at', 'the', 'exact', 'same', 'times']"
oh and yay work directly after all my classes ,yes,"['oh', 'and', 'yay', 'work', 'directly', 'after', 'all', 'my', 'classes']"
thanks for making me feel soo much better     ,yes,"['thanks', 'for', 'making', 'me', 'feel', 'soo', 'much', 'better']"
Morning classes are my favesiess Good thing there's a French kid in my class to entertain me  ,yes,"['Morning', 'classes', 'are', 'my', 'favesiess', 'Good', 'thing', ""there's"", 'a', 'French', 'kid', 'in', 'my', 'class', 'to', 'entertain', 'me']"
"Bronchitis , eat infection and a fever . Makes for a great start to my labor day weekend",yes,"['Bronchitis', ',', 'eat', 'infection', 'and', 'a', 'fever', '.', 'Makes', 'for', 'a', 'great', 'start', 'to', 'my', 'labor', 'day', 'weekend']"
It bothers me that ` Beliebers ' are saying NOW ONLY they heard JB's coming to SA  .. Did u NOT see his tweet 2MONTHS AGO   ,yes,"['It', 'bothers', 'me', 'that', '`', 'Beliebers', ""'"", 'are', 'saying', 'NOW', 'ONLY', 'they', 'heard', ""JB's"", 'coming', 'to', 'SA', '..', 'Did', 'u', 'NOT', 'see', 'his', 'tweet', '2MONTHS', 'AGO']"
You know what I love doing  Rehashing old arguments . ,yes,"['You', 'know', 'what', 'I', 'love', 'doing', 'Rehashing', 'old', 'arguments', '.']"
I love that im wide awake with him sound asleep next to me ,yes,"['I', 'love', 'that', 'im', 'wide', 'awake', 'with', 'him', 'sound', 'asleep', 'next', 'to', 'me']"
"Haven't been able to sleep , so I've been playing Words With Friends and Angry Birds all night . What a thrilling life I lead . ",yes,"[""Haven't"", 'been', 'able', 'to', 'sleep', ',', 'so', ""I've"", 'been', 'playing', 'Words', 'With', 'Friends', 'and', 'Angry', 'Birds', 'all', 'night', '.', 'What', 'a', 'thrilling', 'life', 'I', 'lead', '.']"
So glad I'm retaking physics . It's even more fun the second time around  Asian Accents are so easy to understand  ,yes,"['So', 'glad', ""I'm"", 'retaking', 'physics', '.', ""It's"", 'even', 'more', 'fun', 'the', 'second', 'time', 'around', 'Asian', 'Accents', 'are', 'so', 'easy', 'to', 'understand']"
Having to go to college today to enroll for the second time  ,yes,"['Having', 'to', 'go', 'to', 'college', 'today', 'to', 'enroll', 'for', 'the', 'second', 'time']"
I really like walking around with 2 diff color flops casue my mom packs mine and says their hers ,yes,"['I', 'really', 'like', 'walking', 'around', 'with', '2', 'diff', 'color', 'flops', 'casue', 'my', 'mom', 'packs', 'mine', 'and', 'says', 'their', 'hers']"
isn't it absolutely fantastic that school starts up in four days isn't that just fab can't wait ,yes,"[""isn't"", 'it', 'absolutely', 'fantastic', 'that', 'school', 'starts', 'up', 'in', 'four', 'days', ""isn't"", 'that', 'just', 'fab', ""can't"", 'wait']"
Awkward eye contact is just fantastic ,yes,"['Awkward', 'eye', 'contact', 'is', 'just', 'fantastic']"
I just love it when people don't text me back . ,yes,"['I', 'just', 'love', 'it', 'when', 'people', ""don't"", 'text', 'me', 'back', '.']"
Awsome homework on the first day . That's just what I wanted ,yes,"['Awsome', 'homework', 'on', 'the', 'first', 'day', '.', ""That's"", 'just', 'what', 'I', 'wanted']"
Yeah of course play some bass guitar when I'm lying in bed with a head ache . Thanks ,yes,"['Yeah', 'of', 'course', 'play', 'some', 'bass', 'guitar', 'when', ""I'm"", 'lying', 'in', 'bed', 'with', 'a', 'head', 'ache', '.', 'Thanks']"
I don't think I ' ll be able to make it through a whole day tomorrow at school without breaking down . So that's cool .,yes,"['I', ""don't"", 'think', 'I', ""'"", 'll', 'be', 'able', 'to', 'make', 'it', 'through', 'a', 'whole', 'day', 'tomorrow', 'at', 'school', 'without', 'breaking', 'down', '.', 'So', ""that's"", 'cool', '.']"
Yeah mom and dad . I love you too ,yes,"['Yeah', 'mom', 'and', 'dad', '.', 'I', 'love', 'you', 'too']"
"Yea , sure . I ' d love to do some heavy lifting up and downs some stairs in this heat",yes,"['Yea', ',', 'sure', '.', 'I', ""'"", 'd', 'love', 'to', 'do', 'some', 'heavy', 'lifting', 'up', 'and', 'downs', 'some', 'stairs', 'in', 'this', 'heat']"
I use to tell people the truth yet they never really know since I only speak sarcastically . ,yes,"['I', 'use', 'to', 'tell', 'people', 'the', 'truth', 'yet', 'they', 'never', 'really', 'know', 'since', 'I', 'only', 'speak', 'sarcastically', '.']"
"I love when I'm doing dishes at work & the water spills all over me , its the best . ",yes,"['I', 'love', 'when', ""I'm"", 'doing', 'dishes', 'at', 'work', '&', 'the', 'water', 'spills', 'all', 'over', 'me', ',', 'its', 'the', 'best', '.']"
"I'm so glad I set my alarm correctly , woke up on time , and didn't have to jump straight out of bed and run to class . ",yes,"[""I'm"", 'so', 'glad', 'I', 'set', 'my', 'alarm', 'correctly', ',', 'woke', 'up', 'on', 'time', ',', 'and', ""didn't"", 'have', 'to', 'jump', 'straight', 'out', 'of', 'bed', 'and', 'run', 'to', 'class', '.']"
laugh out loud getting called uneducated by someone who can't spell ` sense ' or ` sentence ' ,yes,"['laugh', 'out', 'loud', 'getting', 'called', 'uneducated', 'by', 'someone', 'who', ""can't"", 'spell', '`', 'sense', ""'"", 'or', '`', 'sentence', ""'""]"
Locking your keys in your car at school is the best feeling in the entire world . ,yes,"['Locking', 'your', 'keys', 'in', 'your', 'car', 'at', 'school', 'is', 'the', 'best', 'feeling', 'in', 'the', 'entire', 'world', '.']"
can't think of a better way to start off my day than with a 8am microbiology class,yes,"[""can't"", 'think', 'of', 'a', 'better', 'way', 'to', 'start', 'off', 'my', 'day', 'than', 'with', 'a', '8am', 'microbiology', 'class']"
Being covered in hives is so fun . ,yes,"['Being', 'covered', 'in', 'hives', 'is', 'so', 'fun', '.']"
Doesn't everyone love getting allergy shots once a week  ,yes,"[""Doesn't"", 'everyone', 'love', 'getting', 'allergy', 'shots', 'once', 'a', 'week']"
I ' d like to give a shout out to all the people who text me for a minute then stop responding . You make dreams a reality ,yes,"['I', ""'"", 'd', 'like', 'to', 'give', 'a', 'shout', 'out', 'to', 'all', 'the', 'people', 'who', 'text', 'me', 'for', 'a', 'minute', 'then', 'stop', 'responding', '.', 'You', 'make', 'dreams', 'a', 'reality']"
I s everyone as excited about the and conventions as I am       ,yes,"['I', 's', 'everyone', 'as', 'excited', 'about', 'the', 'and', 'conventions', 'as', 'I', 'am']"
Wow  the first day I've ever been to UT and G10 lot was full . What a pain I the ass to find parking   ,yes,"['Wow', 'the', 'first', 'day', ""I've"", 'ever', 'been', 'to', 'UT', 'and', 'G10', 'lot', 'was', 'full', '.', 'What', 'a', 'pain', 'I', 'the', 'ass', 'to', 'find', 'parking']"
"Mum , please . I'm not coming home cos i want to concentrate on my studies this weekend . I'm trying to get 4 flat . For you , ;",yes,"['Mum', ',', 'please', '.', ""I'm"", 'not', 'coming', 'home', 'cos', 'i', 'want', 'to', 'concentrate', 'on', 'my', 'studies', 'this', 'weekend', '.', ""I'm"", 'trying', 'to', 'get', '4', 'flat', '.', 'For', 'you', ',', ';']"
Walking into work on an overtime day to have to train a new supervisor who looks like your jerky ex's twin makes for an awesome day ,yes,"['Walking', 'into', 'work', 'on', 'an', 'overtime', 'day', 'to', 'have', 'to', 'train', 'a', 'new', 'supervisor', 'who', 'looks', 'like', 'your', 'jerky', ""ex's"", 'twin', 'makes', 'for', 'an', 'awesome', 'day']"
its amazing how much i cant stand edinboro and its professors right now  ,yes,"['its', 'amazing', 'how', 'much', 'i', 'cant', 'stand', 'edinboro', 'and', 'its', 'professors', 'right', 'now']"
Yeah because I always lie to you ,yes,"['Yeah', 'because', 'I', 'always', 'lie', 'to', 'you']"
at a bus stop with 6 grade nines   ,yes,"['at', 'a', 'bus', 'stop', 'with', '6', 'grade', 'nines']"
"25km cycle back from dropping car for a service , need to do lots of then woohoo  Actually love it no  ",yes,"['25km', 'cycle', 'back', 'from', 'dropping', 'car', 'for', 'a', 'service', ',', 'need', 'to', 'do', 'lots', 'of', 'then', 'woohoo', 'Actually', 'love', 'it', 'no']"
I always enjoy doctor appointments ,yes,"['I', 'always', 'enjoy', 'doctor', 'appointments']"
"a bug flew i n my nose and my mom is ttippin over mt everest . gee , i dont remember why i was dreading this day at all .",yes,"['a', 'bug', 'flew', 'i', 'n', 'my', 'nose', 'and', 'my', 'mom', 'is', 'ttippin', 'over', 'mt', 'everest', '.', 'gee', ',', 'i', 'dont', 'remember', 'why', 'i', 'was', 'dreading', 'this', 'day', 'at', 'all', '.']"
I just love freaking being ignored and not texted back .  people ignored me today   I love it it always makes my day . ,yes,"['I', 'just', 'love', 'freaking', 'being', 'ignored', 'and', 'not', 'texted', 'back', '.', 'people', 'ignored', 'me', 'today', 'I', 'love', 'it', 'it', 'always', 'makes', 'my', 'day', '.']"
I just love my job  ,yes,"['I', 'just', 'love', 'my', 'job']"
What beautiful passport photos I just took ,yes,"['What', 'beautiful', 'passport', 'photos', 'I', 'just', 'took']"
I just attract all the really awesome guys    ,yes,"['I', 'just', 'attract', 'all', 'the', 'really', 'awesome', 'guys']"
I just started to love my teachers       ,yes,"['I', 'just', 'started', 'to', 'love', 'my', 'teachers']"
i have a Spanish teacher that doesn't even speak English that well so I just nod whenever she talks to me,yes,"['i', 'have', 'a', 'Spanish', 'teacher', 'that', ""doesn't"", 'even', 'speak', 'English', 'that', 'well', 'so', 'I', 'just', 'nod', 'whenever', 'she', 'talks', 'to', 'me']"
I love my  Really I do .  ,yes,"['I', 'love', 'my', 'Really', 'I', 'do', '.']"
"Smoking pot lowers your I Q  Seriously , I had no idea ",yes,"['Smoking', 'pot', 'lowers', 'your', 'I', 'Q', 'Seriously', ',', 'I', 'had', 'no', 'idea']"
Gonna teach some people some home rules and etiquette ;,yes,"['Gonna', 'teach', 'some', 'people', 'some', 'home', 'rules', 'and', 'etiquette', ';']"
"I love so hard . It's never for show , it's never to use someone . It's genuine . I can't speak for the ppl I've dated . person_tipping_hand",yes,"['I', 'love', 'so', 'hard', '.', ""It's"", 'never', 'for', 'show', ',', ""it's"", 'never', 'to', 'use', 'someone', '.', ""It's"", 'genuine', '.', 'I', ""can't"", 'speak', 'for', 'the', 'ppl', ""I've"", 'dated', '.', 'person_tipping_hand']"
I love when they play rap music so loud outside the Union that it is impossible to concentrate on my work .  ,yes,"['I', 'love', 'when', 'they', 'play', 'rap', 'music', 'so', 'loud', 'outside', 'the', 'Union', 'that', 'it', 'is', 'impossible', 'to', 'concentrate', 'on', 'my', 'work', '.']"
"Good job , NFL , you really know how to handle criminals .  ",yes,"['Good', 'job', ',', 'NFL', ',', 'you', 'really', 'know', 'how', 'to', 'handle', 'criminals', '.']"
"Some nights , you just need to eat a mediumsized pizza by yourself and watch pointless TV in your underwear . ",yes,"['Some', 'nights', ',', 'you', 'just', 'need', 'to', 'eat', 'a', 'mediumsized', 'pizza', 'by', 'yourself', 'and', 'watch', 'pointless', 'TV', 'in', 'your', 'underwear', '.']"
"I have a sore throat , legit sound like Bane . So cool . I could listen to myself speak all day yukno",yes,"['I', 'have', 'a', 'sore', 'throat', ',', 'legit', 'sound', 'like', 'Bane', '.', 'So', 'cool', '.', 'I', 'could', 'listen', 'to', 'myself', 'speak', 'all', 'day', 'yukno']"
"Had dinner , packed lunch for tomorrow , got an outfit ready , showered and got in bed . Wow , adult life is so cool  ",yes,"['Had', 'dinner', ',', 'packed', 'lunch', 'for', 'tomorrow', ',', 'got', 'an', 'outfit', 'ready', ',', 'showered', 'and', 'got', 'in', 'bed', '.', 'Wow', ',', 'adult', 'life', 'is', 'so', 'cool']"
I just love it when my work PC refuses to work ,yes,"['I', 'just', 'love', 'it', 'when', 'my', 'work', 'PC', 'refuses', 'to', 'work']"
I'm awake when you all are  Go me   really ,yes,"[""I'm"", 'awake', 'when', 'you', 'all', 'are', 'Go', 'me', 'really']"
I am so happy I have U2 on my phone  ,yes,"['I', 'am', 'so', 'happy', 'I', 'have', 'U2', 'on', 'my', 'phone']"
"Another DVD night , wow aren't I living the student life ",yes,"['Another', 'DVD', 'night', ',', 'wow', ""aren't"", 'I', 'living', 'the', 'student', 'life']"
everyone be sure to wish it a happy bday     red_heart  face_blowing_a_kiss face_blowing_a_kiss,yes,"['everyone', 'be', 'sure', 'to', 'wish', 'it', 'a', 'happy', 'bday', 'red_heart', 'face_blowing_a_kiss', 'face_blowing_a_kiss']"
"And it gets so hard to speak , every time you get to me . ' Cause I adore you .",yes,"['And', 'it', 'gets', 'so', 'hard', 'to', 'speak', ',', 'every', 'time', 'you', 'get', 'to', 'me', '.', ""'"", 'Cause', 'I', 'adore', 'you', '.']"
 and I deserve to have you erased from my memory . Thanks for the trip to hell and back .,yes,"['and', 'I', 'deserve', 'to', 'have', 'you', 'erased', 'from', 'my', 'memory', '.', 'Thanks', 'for', 'the', 'trip', 'to', 'hell', 'and', 'back', '.']"
Everything just keeps getting better and better .  angry_face,yes,"['Everything', 'just', 'keeps', 'getting', 'better', 'and', 'better', '.', 'angry_face']"
"Are you  with me on  yet  We have lots of  ,  , and tons of ",yes,"['Are', 'you', 'with', 'me', 'on', 'yet', 'We', 'have', 'lots', 'of', ',', ',', 'and', 'tons', 'of']"
I love it when my dog pees on my bed  What a nice morning surprise   angry_face_with_horns prohibited dog_face,yes,"['I', 'love', 'it', 'when', 'my', 'dog', 'pees', 'on', 'my', 'bed', 'What', 'a', 'nice', 'morning', 'surprise', 'angry_face_with_horns', 'prohibited', 'dog_face']"
I love coming home to this . persevering_face,yes,"['I', 'love', 'coming', 'home', 'to', 'this', '.', 'persevering_face']"
I'll alert the media  Everyone cares where you live   ,yes,"[""I'll"", 'alert', 'the', 'media', 'Everyone', 'cares', 'where', 'you', 'live']"
I literally hate almost everyone today ..     pensive_face,yes,"['I', 'literally', 'hate', 'almost', 'everyone', 'today', '..', 'pensive_face']"
I literally almost passed out because I went to shower and there was a huge bug in the shower . ,yes,"['I', 'literally', 'almost', 'passed', 'out', 'because', 'I', 'went', 'to', 'shower', 'and', 'there', 'was', 'a', 'huge', 'bug', 'in', 'the', 'shower', '.']"
I love being that person that actually tries to keep a conversation going while texting . I mean thanks for caring about my life . squinting_face_with_tongue,yes,"['I', 'love', 'being', 'that', 'person', 'that', 'actually', 'tries', 'to', 'keep', 'a', 'conversation', 'going', 'while', 'texting', '.', 'I', 'mean', 'thanks', 'for', 'caring', 'about', 'my', 'life', '.', 'squinting_face_with_tongue']"
"And my sub is no longer working , what a magnificant day today has been .",yes,"['And', 'my', 'sub', 'is', 'no', 'longer', 'working', ',', 'what', 'a', 'magnificant', 'day', 'today', 'has', 'been', '.']"
I love having such a reliable vehicle . It's so amazing to never have to stress about my car . Really makes life easy . ,yes,"['I', 'love', 'having', 'such', 'a', 'reliable', 'vehicle', '.', ""It's"", 'so', 'amazing', 'to', 'never', 'have', 'to', 'stress', 'about', 'my', 'car', '.', 'Really', 'makes', 'life', 'easy', '.']"
Absolutely love being left to hang,yes,"['Absolutely', 'love', 'being', 'left', 'to', 'hang']"
I like when mike doesn't tweet me but favorites all my tweets   cc ,yes,"['I', 'like', 'when', 'mike', ""doesn't"", 'tweet', 'me', 'but', 'favorites', 'all', 'my', 'tweets', 'cc']"
I love when people don't text back it makes me so happy ,yes,"['I', 'love', 'when', 'people', ""don't"", 'text', 'back', 'it', 'makes', 'me', 'so', 'happy']"
I love pop quizzes heart_suit heart_suit  ,yes,"['I', 'love', 'pop', 'quizzes', 'heart_suit', 'heart_suit']"
Everything's just great  smiling_face_with_hearteyes unamused_face,yes,"[""Everything's"", 'just', 'great', 'smiling_face_with_hearteyes', 'unamused_face']"
My favorite part about getting my oil changed is how long it takes . ,yes,"['My', 'favorite', 'part', 'about', 'getting', 'my', 'oil', 'changed', 'is', 'how', 'long', 'it', 'takes', '.']"
Can't wait for tomorrow  Let the heckling begin ,yes,"[""Can't"", 'wait', 'for', 'tomorrow', 'Let', 'the', 'heckling', 'begin']"
Another day with my coworker in a pissy mood . I need to rub off a little bit more so she can speak up when she's being fucked over ,yes,"['Another', 'day', 'with', 'my', 'coworker', 'in', 'a', 'pissy', 'mood', '.', 'I', 'need', 'to', 'rub', 'off', 'a', 'little', 'bit', 'more', 'so', 'she', 'can', 'speak', 'up', 'when', ""she's"", 'being', 'fucked', 'over']"
Best way to start the day   ,yes,"['Best', 'way', 'to', 'start', 'the', 'day']"
6.0 am fire alarms are just my favourite,yes,"['6.0', 'am', 'fire', 'alarms', 'are', 'just', 'my', 'favourite']"
And now I've caught the freshman plague wow this week is just getting better and better,yes,"['And', 'now', ""I've"", 'caught', 'the', 'freshman', 'plague', 'wow', 'this', 'week', 'is', 'just', 'getting', 'better', 'and', 'better']"
"Excited to see Wes Moore speak tonight  So much to be learned from his story . If you haven't already , read The Other Wes Moore  superb ",yes,"['Excited', 'to', 'see', 'Wes', 'Moore', 'speak', 'tonight', 'So', 'much', 'to', 'be', 'learned', 'from', 'his', 'story', '.', 'If', 'you', ""haven't"", 'already', ',', 'read', 'The', 'Other', 'Wes', 'Moore', 'superb']"
All I can say is .. nothing . That just topped my wonderful day .  ,yes,"['All', 'I', 'can', 'say', 'is', '..', 'nothing', '.', 'That', 'just', 'topped', 'my', 'wonderful', 'day', '.']"
i love hispanic boys so much please speak spanish to me,yes,"['i', 'love', 'hispanic', 'boys', 'so', 'much', 'please', 'speak', 'spanish', 'to', 'me']"
I just think it's great when a player does a dance on the second play of the game after making a tackle,yes,"['I', 'just', 'think', ""it's"", 'great', 'when', 'a', 'player', 'does', 'a', 'dance', 'on', 'the', 'second', 'play', 'of', 'the', 'game', 'after', 'making', 'a', 'tackle']"
The history of roman literature is so interesting .. ,yes,"['The', 'history', 'of', 'roman', 'literature', 'is', 'so', 'interesting', '..']"
Glad my father decided to come visit me even though hes only a town away a phone call wouldve been cool,yes,"['Glad', 'my', 'father', 'decided', 'to', 'come', 'visit', 'me', 'even', 'though', 'hes', 'only', 'a', 'town', 'away', 'a', 'phone', 'call', 'wouldve', 'been', 'cool']"
"Time to get ready , yay  ",yes,"['Time', 'to', 'get', 'ready', ',', 'yay']"
days where your ride forgets about you and you're late to school ,yes,"['days', 'where', 'your', 'ride', 'forgets', 'about', 'you', 'and', ""you're"", 'late', 'to', 'school']"
I am just having the best . day . ever . clapping_hands,yes,"['I', 'am', 'just', 'having', 'the', 'best', '.', 'day', '.', 'ever', '.', 'clapping_hands']"
Yay .. school in 7 hours . SO excited,yes,"['Yay', '..', 'school', 'in', '7', 'hours', '.', 'SO', 'excited']"
Don't you just love the rumours about you having sex with someone you never had sex with  I know I do  smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes thumbs_up,yes,"[""Don't"", 'you', 'just', 'love', 'the', 'rumours', 'about', 'you', 'having', 'sex', 'with', 'someone', 'you', 'never', 'had', 'sex', 'with', 'I', 'know', 'I', 'do', 'smiling_face_with_smiling_eyes', 'smiling_face_with_smiling_eyes', 'smiling_face_with_smiling_eyes', 'thumbs_up']"
I literally keep finding myself singing anaconda out loud  ,yes,"['I', 'literally', 'keep', 'finding', 'myself', 'singing', 'anaconda', 'out', 'loud']"
OMGOMG can't wait for school tomorrow   D,yes,"['OMGOMG', ""can't"", 'wait', 'for', 'school', 'tomorrow', 'D']"
Sometimes I listen to myself speak and I am so damn southern .,yes,"['Sometimes', 'I', 'listen', 'to', 'myself', 'speak', 'and', 'I', 'am', 'so', 'damn', 'southern', '.']"
12 hour day tomorrow should be a blast ,yes,"['12', 'hour', 'day', 'tomorrow', 'should', 'be', 'a', 'blast']"
Beyond excited to be studying birth rates in Poland for a full semester .,yes,"['Beyond', 'excited', 'to', 'be', 'studying', 'birth', 'rates', 'in', 'Poland', 'for', 'a', 'full', 'semester', '.']"
I am in awe of people who lie frequently and often . How do you keep it all straight ,yes,"['I', 'am', 'in', 'awe', 'of', 'people', 'who', 'lie', 'frequently', 'and', 'often', '.', 'How', 'do', 'you', 'keep', 'it', 'all', 'straight']"
"At least when Sharia Law rules the land , we can take solace in the fact that we were politically correct in not being Islamophobic .",yes,"['At', 'least', 'when', 'Sharia', 'Law', 'rules', 'the', 'land', ',', 'we', 'can', 'take', 'solace', 'in', 'the', 'fact', 'that', 'we', 'were', 'politically', 'correct', 'in', 'not', 'being', 'Islamophobic', '.']"
I love being single ;  ,yes,"['I', 'love', 'being', 'single', ';']"
